CMDLINE .venv/bin/python save_vocab.py
MEM 0.511719 1784288010.0637
MEM 33.121094 1784288010.1640
MEM 37.398438 1784288010.2686
MEM 37.398438 1784288010.3689
MEM 37.398438 1784288010.4726
MEM 37.398438 1784288010.5730
MEM 61.785156 1784288010.6732
MEM 73.093750 1784288010.7735
MEM 73.089844 1784288010.8738
MEM 74.921875 1784288010.9740
MEM 76.363281 1784288011.0742
MEM 78.402344 1784288011.1745
MEM 77.277344 1784288011.2747
MEM 77.976562 1784288011.3750
MEM 78.078125 1784288011.4806
MEM 71.875000 1784288011.5810
MEM 77.082031 1784288011.6813
MEM 82.843750 1784288011.7816
MEM 82.023438 1784288011.8846
MEM 82.027344 1784288011.9848
MEM 83.683594 1784288012.0886
MEM 83.816406 1784288012.1888
MEM 83.824219 1784288012.2891
MEM 85.398438 1784288012.3894
MEM 88.710938 1784288012.4896
MEM 83.703125 1784288012.5899
MEM 87.156250 1784288012.6901
MEM 87.160156 1784288012.7904
MEM 87.164062 1784288012.8907
MEM 87.167969 1784288012.9909
MEM 82.523438 1784288013.0911
MEM 87.398438 1784288013.1914
MEM 89.949219 1784288013.2917
MEM 87.593750 1784288013.3919
MEM 87.593750 1784288013.4923
MEM 88.320312 1784288013.5925
MEM 88.609375 1784288013.6928
MEM 89.343750 1784288013.7931
MEM 91.574219 1784288013.8933
MEM 91.574219 1784288013.9936
MEM 91.578125 1784288014.0966
MEM 91.578125 1784288014.1968
MEM 84.535156 1784288014.2971
MEM 86.218750 1784288014.3973
MEM 98.355469 1784288014.4976
MEM 94.691406 1784288014.5979
MEM 94.695312 1784288014.6981
MEM 96.683594 1784288014.7984
MEM 96.687500 1784288014.9006
MEM 96.687500 1784288015.0028
MEM 96.691406 1784288015.1030
MEM 96.691406 1784288015.2044
MEM 96.695312 1784288015.3086
MEM 96.695312 1784288015.4088
MEM 98.882812 1784288015.5127
MEM 90.324219 1784288015.6129
MEM 90.324219 1784288015.7158
MEM 95.148438 1784288015.8161
