CMDLINE .venv/bin/python save_vocab.py
MEM 0.445312 1784208515.8800
MEM 22.980469 1784208515.9803
MEM 22.980469 1784208516.0806
MEM 22.980469 1784208516.1809
MEM 22.980469 1784208516.2812
MEM 22.980469 1784208516.3815
MEM 22.980469 1784208516.4818
MEM 22.988281 1784208516.5822
MEM 22.996094 1784208516.6825
MEM 23.003906 1784208516.7827
MEM 23.011719 1784208516.8831
MEM 23.011719 1784208516.9834
MEM 23.015625 1784208517.0837
MEM 23.027344 1784208517.1841
MEM 23.027344 1784208517.2845
MEM 23.027344 1784208517.3849
MEM 23.027344 1784208517.4852
MEM 23.027344 1784208517.5855
MEM 23.035156 1784208517.6859
MEM 23.042969 1784208517.7863
MEM 23.042969 1784208517.8866
MEM 23.042969 1784208517.9870
MEM 23.042969 1784208518.0874
MEM 23.050781 1784208518.1878
MEM 23.058594 1784208518.2881
MEM 23.058594 1784208518.3886
MEM 23.058594 1784208518.4889
MEM 23.058594 1784208518.5894
MEM 23.058594 1784208518.6897
MEM 23.070312 1784208518.7901
MEM 23.074219 1784208518.8908
MEM 23.074219 1784208518.9912
MEM 23.074219 1784208519.0916
MEM 23.074219 1784208519.1919
MEM 23.082031 1784208519.2922
MEM 23.089844 1784208519.3926
MEM 23.089844 1784208519.4929
MEM 23.089844 1784208519.5933
MEM 23.089844 1784208519.6936
MEM 23.097656 1784208519.7940
MEM 23.105469 1784208519.8943
MEM 23.105469 1784208519.9947
MEM 23.105469 1784208520.0950
MEM 23.105469 1784208520.1953
MEM 23.113281 1784208520.2956
MEM 23.121094 1784208520.3960
MEM 23.121094 1784208520.4963
MEM 23.121094 1784208520.5966
MEM 23.121094 1784208520.6969
MEM 23.125000 1784208520.7972
MEM 23.132812 1784208520.8976
MEM 23.136719 1784208520.9979
MEM 23.136719 1784208521.0983
MEM 23.136719 1784208521.1986
MEM 23.136719 1784208521.2989
MEM 23.148438 1784208521.3992
MEM 23.152344 1784208521.4995
MEM 23.152344 1784208521.5998
MEM 23.152344 1784208521.7001
MEM 23.152344 1784208521.8005
MEM 23.160156 1784208521.9008
MEM 23.171875 1784208522.0011
MEM 23.179688 1784208522.1014
MEM 25.152344 1784208522.2029
MEM 25.152344 1784208522.3031
MEM 34.656250 1784208522.4034
MEM 34.656250 1784208522.5086
MEM 47.871094 1784208522.6089
MEM 74.457031 1784208522.7106
MEM 85.320312 1784208522.8109
MEM 86.238281 1784208522.9112
MEM 84.804688 1784208523.0115
MEM 86.683594 1784208523.1118
MEM 86.734375 1784208523.2121
MEM 81.496094 1784208523.3123
MEM 79.808594 1784208523.4126
MEM 82.316406 1784208523.5129
MEM 80.851562 1784208523.6131
MEM 83.855469 1784208523.7134
MEM 85.433594 1784208523.8137
MEM 80.859375 1784208523.9140
MEM 82.542969 1784208524.0143
MEM 83.222656 1784208524.1146
MEM 87.320312 1784208524.2148
MEM 84.761719 1784208524.3151
MEM 82.273438 1784208524.4206
MEM 82.371094 1784208524.5234
MEM 87.179688 1784208524.6237
MEM 80.726562 1784208524.7240
MEM 84.156250 1784208524.8242
MEM 84.289062 1784208524.9245
MEM 79.570312 1784208525.0251
MEM 79.816406 1784208525.1254
MEM 84.246094 1784208525.2257
MEM 81.925781 1784208525.3259
MEM 79.367188 1784208525.4262
MEM 80.824219 1784208525.5265
MEM 84.433594 1784208525.6268
MEM 81.871094 1784208525.7271
MEM 86.785156 1784208525.8276
MEM 88.578125 1784208525.9280
MEM 88.578125 1784208526.0311
MEM 88.578125 1784208526.1327
MEM 80.914062 1784208526.2329
MEM 88.464844 1784208526.3332
MEM 91.160156 1784208526.4367
MEM 91.164062 1784208526.5406
MEM 91.269531 1784208526.6408
MEM 91.269531 1784208526.7417
MEM 91.273438 1784208526.8420
MEM 91.406250 1784208526.9422
MEM 91.410156 1784208527.0425
MEM 91.410156 1784208527.1427
MEM 86.082031 1784208527.2430
MEM 87.976562 1784208527.3433
MEM 90.132812 1784208527.4435
MEM 92.042969 1784208527.5438
MEM 92.066406 1784208527.6442
MEM 93.796875 1784208527.7445
MEM 93.859375 1784208527.8486
MEM 93.890625 1784208527.9534
MEM 93.960938 1784208528.0543
MEM 87.636719 1784208528.1547
MEM 89.195312 1784208528.2550
MEM 93.519531 1784208528.3552
MEM 93.800781 1784208528.4555
MEM 86.003906 1784208528.5557
MEM 91.417969 1784208528.6560
MEM 85.378906 1784208528.7562
MEM 90.113281 1784208528.8565
MEM 92.292969 1784208528.9606
MEM 95.160156 1784208529.0624
MEM 95.300781 1784208529.1627
MEM 96.972656 1784208529.2630
MEM 96.972656 1784208529.3646
MEM 96.972656 1784208529.4649
MEM 92.503906 1784208529.5653
MEM 94.871094 1784208529.6655
MEM 86.355469 1784208529.7658
MEM 92.925781 1784208529.8667
MEM 92.992188 1784208529.9670
MEM 93.101562 1784208530.0686
MEM 93.101562 1784208530.1697
MEM 93.101562 1784208530.2726
MEM 93.101562 1784208530.3729
MEM 93.101562 1784208530.4731
MEM 93.101562 1784208530.5766
MEM 93.101562 1784208530.6768
MEM 93.101562 1784208530.7786
MEM 93.476562 1784208530.8789
MEM 93.519531 1784208530.9791
MEM 93.527344 1784208531.0794
MEM 93.531250 1784208531.1797
MEM 95.816406 1784208531.2799
MEM 95.816406 1784208531.3802
MEM 95.820312 1784208531.4805
MEM 96.175781 1784208531.5807
MEM 96.175781 1784208531.6810
MEM 89.191406 1784208531.7823
MEM 93.980469 1784208531.8825
MEM 94.328125 1784208531.9829
MEM 94.371094 1784208532.0833
MEM 94.371094 1784208532.1836
MEM 97.074219 1784208532.2839
MEM 97.074219 1784208532.3871
MEM 97.105469 1784208532.4875
MEM 97.105469 1784208532.5878
MEM 97.433594 1784208532.6881
MEM 97.433594 1784208532.7883
MEM 97.433594 1784208532.8886
MEM 97.433594 1784208532.9920
MEM 98.832031 1784208533.0923
MEM 98.984375 1784208533.1966
MEM 99.011719 1784208533.2968
MEM 99.011719 1784208533.3971
MEM 99.179688 1784208533.4974
MEM 99.179688 1784208533.5977
MEM 99.179688 1784208533.6979
MEM 99.750000 1784208533.7982
MEM 99.750000 1784208533.8985
MEM 99.750000 1784208533.9987
MEM 99.750000 1784208534.0989
MEM 99.750000 1784208534.1992
MEM 99.750000 1784208534.2994
MEM 99.750000 1784208534.3997
MEM 99.757812 1784208534.5006
MEM 99.757812 1784208534.6009
MEM 114.425781 1784208534.7017
MEM 107.089844 1784208534.8085
MEM 107.089844 1784208534.9087
MEM 107.089844 1784208535.0100
MEM 107.089844 1784208535.1103
MEM 107.089844 1784208535.2105
MEM 107.101562 1784208535.3108
MEM 107.843750 1784208535.4111
MEM 107.847656 1784208535.5120
MEM 107.847656 1784208535.6167
MEM 108.218750 1784208535.7169
MEM 108.222656 1784208535.8172
MEM 108.226562 1784208535.9175
MEM 108.230469 1784208536.0177
MEM 108.234375 1784208536.1180
MEM 108.234375 1784208536.2183
MEM 108.238281 1784208536.3186
MEM 108.238281 1784208536.4248
MEM 108.242188 1784208536.5250
MEM 108.542969 1784208536.6252
MEM 108.542969 1784208536.7287
MEM 108.546875 1784208536.8290
MEM 108.546875 1784208536.9292
MEM 108.546875 1784208537.0295
MEM 108.550781 1784208537.1297
MEM 108.554688 1784208537.2300
MEM 108.554688 1784208537.3302
MEM 108.558594 1784208537.4305
MEM 108.558594 1784208537.5307
MEM 108.558594 1784208537.6310
MEM 108.558594 1784208537.7312
MEM 108.562500 1784208537.8366
MEM 108.562500 1784208537.9369
MEM 108.562500 1784208538.0373
MEM 108.566406 1784208538.1376
MEM 108.566406 1784208538.2379
MEM 109.656250 1784208538.3382
MEM 109.656250 1784208538.4385
MEM 109.804688 1784208538.5388
MEM 109.804688 1784208538.6391
MEM 109.808594 1784208538.7394
MEM 109.984375 1784208538.8438
MEM 110.050781 1784208538.9440
MEM 110.054688 1784208539.0443
MEM 110.054688 1784208539.1446
MEM 110.054688 1784208539.2448
MEM 110.054688 1784208539.3451
MEM 110.058594 1784208539.4453
MEM 110.058594 1784208539.5456
MEM 110.058594 1784208539.6458
MEM 110.058594 1784208539.7460
MEM 110.062500 1784208539.8464
MEM 110.062500 1784208539.9467
MEM 110.062500 1784208540.0470
MEM 110.066406 1784208540.1472
MEM 110.093750 1784208540.2475
MEM 110.093750 1784208540.3478
MEM 110.093750 1784208540.4500
MEM 110.093750 1784208540.5503
MEM 110.097656 1784208540.6505
MEM 110.097656 1784208540.7508
MEM 110.101562 1784208540.8511
MEM 110.105469 1784208540.9567
MEM 110.105469 1784208541.0583
MEM 110.105469 1784208541.1586
MEM 110.109375 1784208541.2589
MEM 110.109375 1784208541.3592
MEM 110.113281 1784208541.4595
MEM 116.839844 1784208541.5646
MEM 116.843750 1784208541.6648
MEM 116.843750 1784208541.7651
MEM 116.843750 1784208541.8657
MEM 116.843750 1784208541.9660
MEM 116.847656 1784208542.0663
MEM 116.847656 1784208542.1665
MEM 116.847656 1784208542.2668
MEM 116.847656 1784208542.3670
MEM 116.847656 1784208542.4673
MEM 116.847656 1784208542.5675
MEM 116.847656 1784208542.6701
MEM 116.847656 1784208542.7726
MEM 116.847656 1784208542.8766
MEM 116.847656 1784208542.9769
MEM 116.847656 1784208543.0771
MEM 116.847656 1784208543.1773
MEM 116.847656 1784208543.2776
MEM 116.847656 1784208543.3779
MEM 116.847656 1784208543.4781
MEM 116.847656 1784208543.5784
MEM 116.847656 1784208543.6786
MEM 116.847656 1784208543.7789
MEM 116.847656 1784208543.8792
MEM 116.847656 1784208543.9796
MEM 116.847656 1784208544.0809
MEM 116.847656 1784208544.1812
MEM 116.847656 1784208544.2814
MEM 116.847656 1784208544.3817
MEM 116.847656 1784208544.4841
MEM 116.847656 1784208544.5843
MEM 116.847656 1784208544.6846
MEM 120.093750 1784208544.7864
MEM 120.093750 1784208544.8867
MEM 120.093750 1784208544.9870
MEM 120.093750 1784208545.0872
MEM 120.093750 1784208545.1927
MEM 120.093750 1784208545.2930
MEM 120.093750 1784208545.3934
MEM 120.093750 1784208545.4943
MEM 120.097656 1784208545.5946
MEM 122.671875 1784208545.6948
MEM 122.671875 1784208545.7966
MEM 122.671875 1784208545.8970
MEM 122.671875 1784208545.9973
MEM 122.671875 1784208546.0975
MEM 122.671875 1784208546.2006
MEM 122.671875 1784208546.3009
MEM 122.671875 1784208546.4012
MEM 122.671875 1784208546.5014
MEM 122.671875 1784208546.6017
MEM 122.671875 1784208546.7047
MEM 122.671875 1784208546.8050
MEM 122.671875 1784208546.9053
MEM 122.671875 1784208547.0087
MEM 122.671875 1784208547.1127
MEM 122.671875 1784208547.2129
MEM 122.671875 1784208547.3133
MEM 122.671875 1784208547.4136
MEM 122.671875 1784208547.5138
MEM 122.671875 1784208547.6141
MEM 122.671875 1784208547.7144
MEM 122.671875 1784208547.8146
MEM 122.671875 1784208547.9149
MEM 122.671875 1784208548.0151
MEM 122.671875 1784208548.1154
MEM 122.671875 1784208548.2156
MEM 122.671875 1784208548.3158
MEM 122.671875 1784208548.4206
MEM 122.671875 1784208548.5209
MEM 122.671875 1784208548.6212
MEM 122.671875 1784208548.7214
MEM 122.671875 1784208548.8246
