CMDLINE .venv/bin/python save_vocab.py
MEM 0.500000 1784297540.4414
MEM 27.992188 1784297540.5422
MEM 36.695312 1784297540.6424
MEM 37.511719 1784297540.7446
MEM 37.511719 1784297540.8487
MEM 37.511719 1784297540.9527
MEM 37.511719 1784297541.0566
MEM 37.511719 1784297541.1569
MEM 48.867188 1784297541.2572
MEM 62.898438 1784297541.3574
MEM 65.835938 1784297541.4578
MEM 65.843750 1784297541.5581
MEM 65.832031 1784297541.6583
MEM 67.085938 1784297541.7586
MEM 64.242188 1784297541.8589
MEM 70.511719 1784297541.9591
MEM 70.511719 1784297542.0606
MEM 72.652344 1784297542.1629
MEM 73.253906 1784297542.2632
MEM 73.253906 1784297542.3635
MEM 73.480469 1784297542.4638
MEM 73.691406 1784297542.5641
MEM 73.691406 1784297542.6644
MEM 77.710938 1784297542.7687
MEM 77.714844 1784297542.8707
MEM 77.875000 1784297542.9709
MEM 78.328125 1784297543.0712
MEM 78.328125 1784297543.1735
MEM 78.328125 1784297543.2746
MEM 78.675781 1784297543.3749
MEM 78.921875 1784297543.4751
MEM 79.125000 1784297543.5770
MEM 79.125000 1784297543.6791
MEM 79.445312 1784297543.7794
MEM 79.445312 1784297543.8797
MEM 79.832031 1784297543.9799
MEM 80.039062 1784297544.0803
MEM 80.039062 1784297544.1806
MEM 80.250000 1784297544.2846
MEM 81.570312 1784297544.3874
MEM 81.570312 1784297544.4877
MEM 76.984375 1784297544.5879
MEM 76.988281 1784297544.6883
MEM 79.046875 1784297544.7887
MEM 80.468750 1784297544.8890
MEM 90.898438 1784297544.9893
MEM 86.015625 1784297545.0896
MEM 87.492188 1784297545.1912
MEM 87.492188 1784297545.2915
MEM 87.851562 1784297545.3926
MEM 89.042969 1784297545.4966
MEM 89.042969 1784297545.6007
MEM 89.046875 1784297545.7010
MEM 89.046875 1784297545.8012
MEM 89.046875 1784297545.9015
MEM 89.496094 1784297546.0018
MEM 89.500000 1784297546.1021
MEM 89.500000 1784297546.2023
MEM 89.585938 1784297546.3026
MEM 89.585938 1784297546.4047
MEM 89.585938 1784297546.5085
MEM 89.585938 1784297546.6126
MEM 89.585938 1784297546.7129
MEM 89.585938 1784297546.8131
MEM 89.585938 1784297546.9166
MEM 89.585938 1784297547.0206
MEM 89.585938 1784297547.1248
MEM 89.585938 1784297547.2250
MEM 89.585938 1784297547.3286
MEM 89.585938 1784297547.4326
MEM 96.921875 1784297547.5364
MEM 93.253906 1784297547.6386
MEM 93.257812 1784297547.7390
MEM 93.257812 1784297547.8393
MEM 93.257812 1784297547.9397
MEM 93.257812 1784297548.0401
MEM 93.257812 1784297548.1404
MEM 93.257812 1784297548.2446
MEM 93.257812 1784297548.3486
MEM 93.257812 1784297548.4489
MEM 93.257812 1784297548.5493
MEM 93.257812 1784297548.6495
MEM 95.664062 1784297548.7497
MEM 98.632812 1784297548.8506
MEM 98.632812 1784297548.9509
MEM 98.632812 1784297549.0512
MEM 98.632812 1784297549.1514
MEM 98.652344 1784297549.2517
MEM 98.652344 1784297549.3526
MEM 98.652344 1784297549.4545
MEM 98.652344 1784297549.5547
MEM 98.652344 1784297549.6550
MEM 98.652344 1784297549.7553
MEM 98.652344 1784297549.8556
MEM 98.652344 1784297549.9558
MEM 98.757812 1784297550.0606
MEM 98.757812 1784297550.1617
MEM 98.757812 1784297550.2646
MEM 98.757812 1784297550.3648
MEM 98.757812 1784297550.4651
MEM 98.761719 1784297550.5654
MEM 98.761719 1784297550.6656
MEM 98.761719 1784297550.7659
MEM 100.718750 1784297550.8662
MEM 100.718750 1784297550.9664
MEM 100.718750 1784297551.0667
MEM 100.722656 1784297551.1669
MEM 100.722656 1784297551.2672
MEM 100.722656 1784297551.3674
MEM 100.726562 1784297551.4697
MEM 100.726562 1784297551.5766
MEM 100.726562 1784297551.6806
MEM 100.726562 1784297551.7809
MEM 100.730469 1784297551.8846
MEM 100.730469 1784297551.9849
MEM 100.730469 1784297552.0851
MEM 100.730469 1784297552.1854
MEM 100.734375 1784297552.2857
MEM 100.734375 1784297552.3886
MEM 100.734375 1784297552.4889
MEM 100.734375 1784297552.5891
MEM 102.109375 1784297552.6894
MEM 102.113281 1784297552.7896
MEM 102.113281 1784297552.8899
MEM 102.117188 1784297552.9902
MEM 102.117188 1784297553.0905
MEM 102.117188 1784297553.1907
MEM 102.121094 1784297553.2910
MEM 102.121094 1784297553.3912
MEM 102.121094 1784297553.4915
MEM 102.121094 1784297553.5918
MEM 102.125000 1784297553.6920
MEM 102.125000 1784297553.7923
MEM 102.125000 1784297553.8925
MEM 102.125000 1784297553.9942
MEM 102.125000 1784297554.0946
MEM 102.125000 1784297554.1949
MEM 102.125000 1784297554.2952
MEM 102.125000 1784297554.3954
MEM 102.125000 1784297554.4958
MEM 103.523438 1784297554.5961
MEM 103.523438 1784297554.6973
MEM 103.523438 1784297554.8046
MEM 103.527344 1784297554.9048
MEM 103.859375 1784297555.0051
MEM 103.937500 1784297555.1054
MEM 103.937500 1784297555.2056
MEM 103.937500 1784297555.3059
MEM 103.937500 1784297555.4062
MEM 103.937500 1784297555.5065
MEM 103.941406 1784297555.6067
MEM 103.941406 1784297555.7070
MEM 103.941406 1784297555.8072
MEM 103.941406 1784297555.9075
MEM 103.941406 1784297556.0078
MEM 103.941406 1784297556.1097
MEM 103.941406 1784297556.2110
MEM 103.941406 1784297556.3113
MEM 104.753906 1784297556.4115
MEM 104.753906 1784297556.5123
MEM 104.960938 1784297556.6166
MEM 104.960938 1784297556.7175
MEM 104.960938 1784297556.8179
MEM 104.960938 1784297556.9182
MEM 104.960938 1784297557.0185
MEM 104.968750 1784297557.1188
MEM 105.503906 1784297557.2190
MEM 105.503906 1784297557.3226
MEM 105.503906 1784297557.4246
MEM 105.503906 1784297557.5249
MEM 105.507812 1784297557.6286
MEM 105.675781 1784297557.7290
MEM 105.675781 1784297557.8292
MEM 105.675781 1784297557.9295
MEM 105.679688 1784297558.0326
MEM 105.679688 1784297558.1329
MEM 105.679688 1784297558.2333
MEM 105.679688 1784297558.3336
MEM 105.683594 1784297558.4339
MEM 105.683594 1784297558.5342
MEM 105.683594 1784297558.6344
MEM 105.683594 1784297558.7347
MEM 105.683594 1784297558.8350
MEM 105.683594 1784297558.9353
MEM 105.683594 1784297559.0368
MEM 105.683594 1784297559.1371
MEM 105.683594 1784297559.2406
MEM 105.683594 1784297559.3409
MEM 105.683594 1784297559.4411
MEM 105.683594 1784297559.5414
MEM 105.683594 1784297559.6428
MEM 107.554688 1784297559.7431
MEM 107.554688 1784297559.8433
MEM 107.796875 1784297559.9436
MEM 108.050781 1784297560.0439
MEM 108.050781 1784297560.1441
MEM 108.050781 1784297560.2444
MEM 108.050781 1784297560.3486
MEM 108.050781 1784297560.4488
MEM 108.050781 1784297560.5491
MEM 115.382812 1784297560.6493
MEM 115.382812 1784297560.7496
MEM 115.382812 1784297560.8498
MEM 115.382812 1784297560.9501
MEM 115.800781 1784297561.0526
MEM 115.800781 1784297561.1558
MEM 115.800781 1784297561.2574
MEM 116.367188 1784297561.3605
MEM 116.367188 1784297561.4608
MEM 116.367188 1784297561.5611
MEM 116.371094 1784297561.6646
MEM 116.371094 1784297561.7758
MEM 116.371094 1784297561.8887
MEM 116.371094 1784297561.9898
MEM 116.371094 1784297562.0900
MEM 116.371094 1784297562.1903
MEM 116.371094 1784297562.2905
MEM 116.371094 1784297562.3908
MEM 116.371094 1784297562.4910
MEM 116.371094 1784297562.5913
MEM 116.371094 1784297562.6945
MEM 116.371094 1784297562.7967
MEM 116.371094 1784297562.9007
MEM 116.371094 1784297563.0010
MEM 116.371094 1784297563.1021
MEM 116.371094 1784297563.2024
MEM 116.371094 1784297563.3027
MEM 116.371094 1784297563.4030
MEM 116.371094 1784297563.5033
MEM 116.371094 1784297563.6037
MEM 117.402344 1784297563.7040
MEM 117.402344 1784297563.8067
MEM 117.402344 1784297563.9086
MEM 117.496094 1784297564.0126
MEM 117.496094 1784297564.1166
MEM 117.496094 1784297564.2206
MEM 117.496094 1784297564.3208
MEM 117.496094 1784297564.4246
MEM 117.496094 1784297564.5286
MEM 117.496094 1784297564.6326
MEM 117.496094 1784297564.7328
MEM 117.496094 1784297564.8366
MEM 117.496094 1784297564.9368
MEM 117.496094 1784297565.0406
MEM 117.496094 1784297565.1418
MEM 117.496094 1784297565.2420
MEM 117.496094 1784297565.3423
MEM 117.949219 1784297565.4426
MEM 117.949219 1784297565.5428
MEM 117.949219 1784297565.6432
MEM 117.949219 1784297565.7434
MEM 118.097656 1784297565.8437
MEM 118.101562 1784297565.9439
MEM 118.101562 1784297566.0457
MEM 118.101562 1784297566.1460
MEM 118.101562 1784297566.2488
MEM 118.105469 1784297566.3496
MEM 118.105469 1784297566.4498
MEM 118.105469 1784297566.5501
MEM 118.105469 1784297566.6504
MEM 118.472656 1784297566.7507
MEM 118.476562 1784297566.8511
MEM 118.476562 1784297566.9513
MEM 118.476562 1784297567.0516
MEM 118.476562 1784297567.1533
MEM 118.476562 1784297567.2536
MEM 118.476562 1784297567.3539
MEM 118.476562 1784297567.4542
MEM 119.273438 1784297567.5545
MEM 119.273438 1784297567.6547
MEM 119.273438 1784297567.7567
MEM 119.335938 1784297567.8606
MEM 119.335938 1784297567.9626
MEM 119.335938 1784297568.0630
MEM 119.335938 1784297568.1686
MEM 119.335938 1784297568.2688
MEM 119.335938 1784297568.3692
MEM 119.335938 1784297568.4726
MEM 119.335938 1784297568.5766
MEM 119.335938 1784297568.6807
MEM 119.335938 1784297568.7810
MEM 119.335938 1784297568.8846
MEM 119.335938 1784297568.9849
MEM 119.335938 1784297569.0851
MEM 119.339844 1784297569.1854
MEM 119.339844 1784297569.2886
MEM 121.195312 1784297569.3892
MEM 121.195312 1784297569.4894
MEM 121.195312 1784297569.5897
MEM 121.195312 1784297569.6900
MEM 121.195312 1784297569.7902
MEM 121.195312 1784297569.8905
MEM 121.195312 1784297569.9908
MEM 121.195312 1784297570.0910
MEM 121.195312 1784297570.1913
MEM 121.199219 1784297570.2916
MEM 121.199219 1784297570.3920
MEM 121.207031 1784297570.4923
MEM 121.386719 1784297570.5926
MEM 121.386719 1784297570.6928
MEM 121.386719 1784297570.7932
MEM 121.386719 1784297570.8935
MEM 121.386719 1784297570.9939
MEM 121.398438 1784297571.0941
MEM 121.398438 1784297571.1944
MEM 121.519531 1784297571.2947
MEM 121.519531 1784297571.3950
MEM 121.519531 1784297571.4953
MEM 121.523438 1784297571.5955
MEM 121.527344 1784297571.6973
MEM 121.527344 1784297571.7976
MEM 121.527344 1784297571.9006
MEM 121.531250 1784297572.0008
MEM 121.531250 1784297572.1011
MEM 121.531250 1784297572.2020
MEM 121.531250 1784297572.3022
MEM 121.535156 1784297572.4025
MEM 121.535156 1784297572.5028
MEM 121.535156 1784297572.6046
MEM 121.535156 1784297572.7081
MEM 121.535156 1784297572.8083
MEM 121.535156 1784297572.9086
MEM 121.535156 1784297573.0115
MEM 121.539062 1784297573.1118
MEM 121.539062 1784297573.2121
MEM 121.539062 1784297573.3124
MEM 121.539062 1784297573.4127
MEM 121.539062 1784297573.5150
MEM 122.882812 1784297573.6153
MEM 122.886719 1784297573.7156
MEM 122.886719 1784297573.8161
MEM 122.886719 1784297573.9164
MEM 122.886719 1784297574.0167
MEM 122.890625 1784297574.1188
MEM 122.890625 1784297574.2206
MEM 122.890625 1784297574.3247
MEM 122.890625 1784297574.4249
MEM 122.890625 1784297574.5252
MEM 122.890625 1784297574.6254
MEM 122.894531 1784297574.7257
MEM 123.300781 1784297574.8259
MEM 123.300781 1784297574.9262
MEM 123.300781 1784297575.0264
MEM 123.300781 1784297575.1267
MEM 123.300781 1784297575.2270
MEM 123.304688 1784297575.3274
MEM 123.335938 1784297575.4276
MEM 123.339844 1784297575.5279
MEM 123.339844 1784297575.6327
MEM 123.339844 1784297575.7366
MEM 123.968750 1784297575.8426
MEM 123.968750 1784297575.9429
MEM 123.968750 1784297576.0431
MEM 123.968750 1784297576.1434
MEM 123.972656 1784297576.2436
MEM 123.972656 1784297576.3439
MEM 123.972656 1784297576.4442
MEM 124.625000 1784297576.5444
MEM 124.625000 1784297576.6447
MEM 124.625000 1784297576.7450
MEM 124.628906 1784297576.8453
MEM 124.628906 1784297576.9456
MEM 124.628906 1784297577.0459
MEM 124.628906 1784297577.1526
MEM 124.628906 1784297577.2529
MEM 124.628906 1784297577.3532
MEM 124.632812 1784297577.4538
MEM 124.632812 1784297577.5540
MEM 124.632812 1784297577.6543
MEM 124.761719 1784297577.7546
MEM 124.761719 1784297577.8549
MEM 124.761719 1784297577.9552
MEM 125.003906 1784297578.0555
MEM 125.003906 1784297578.1558
MEM 125.253906 1784297578.2561
MEM 125.261719 1784297578.3563
MEM 125.261719 1784297578.4565
MEM 125.285156 1784297578.5568
MEM 125.285156 1784297578.6570
MEM 125.402344 1784297578.7602
MEM 125.402344 1784297578.8605
MEM 125.402344 1784297578.9608
MEM 125.402344 1784297579.0646
MEM 125.402344 1784297579.1663
MEM 125.402344 1784297579.2667
MEM 125.402344 1784297579.3671
