CMDLINE .venv/bin/python save_vocab.py
MEM 0.460938 1784287910.4312
MEM 21.078125 1784287910.5315
MEM 32.734375 1784287910.6336
MEM 36.242188 1784287910.7340
MEM 37.417969 1784287910.8358
MEM 37.417969 1784287910.9361
MEM 37.417969 1784287911.0363
MEM 37.417969 1784287911.1406
MEM 48.128906 1784287911.2416
MEM 61.863281 1784287911.3420
MEM 62.785156 1784287911.4423
MEM 64.542969 1784287911.5425
MEM 72.269531 1784287911.6428
MEM 72.273438 1784287911.7430
MEM 65.531250 1784287911.8433
MEM 66.015625 1784287911.9436
MEM 72.519531 1784287912.0438
MEM 73.363281 1784287912.1441
MEM 69.058594 1784287912.2444
MEM 80.648438 1784287912.3446
MEM 84.320312 1784287912.4449
MEM 85.878906 1784287912.5451
MEM 85.949219 1784287912.6455
MEM 79.746094 1784287912.7458
MEM 82.847656 1784287912.8461
MEM 84.847656 1784287912.9487
MEM 82.878906 1784287913.0490
MEM 84.628906 1784287913.1493
MEM 86.164062 1784287913.2495
MEM 82.453125 1784287913.3498
MEM 82.710938 1784287913.4526
MEM 84.441406 1784287913.5529
MEM 79.738281 1784287913.6531
MEM 88.230469 1784287913.7534
MEM 88.593750 1784287913.8536
MEM 83.570312 1784287913.9539
MEM 86.148438 1784287914.0543
MEM 83.871094 1784287914.1546
MEM 81.363281 1784287914.2549
MEM 88.039062 1784287914.3552
MEM 89.378906 1784287914.4556
MEM 89.378906 1784287914.5558
MEM 84.039062 1784287914.6561
MEM 89.777344 1784287914.7564
MEM 89.781250 1784287914.8567
MEM 89.785156 1784287914.9606
MEM 89.792969 1784287915.0609
MEM 89.792969 1784287915.1611
MEM 93.464844 1784287915.2614
MEM 93.468750 1784287915.3617
MEM 93.472656 1784287915.4619
MEM 93.531250 1784287915.5623
MEM 93.531250 1784287915.6626
MEM 93.531250 1784287915.7633
MEM 93.531250 1784287915.8646
MEM 93.531250 1784287915.9649
MEM 93.531250 1784287916.0707
MEM 96.929688 1784287916.1710
MEM 96.929688 1784287916.2713
MEM 96.929688 1784287916.3716
MEM 96.929688 1784287916.4806
MEM 96.929688 1784287916.5808
MEM 97.746094 1784287916.6811
MEM 90.265625 1784287916.7813
MEM 90.269531 1784287916.8816
MEM 93.906250 1784287916.9822
MEM 96.406250 1784287917.0847
MEM 96.406250 1784287917.1886
MEM 96.410156 1784287917.2889
MEM 96.429688 1784287917.4013
MEM 96.535156 1784287917.5016
MEM 96.535156 1784287917.6047
MEM 96.644531 1784287917.7050
MEM 96.648438 1784287917.8052
MEM 96.648438 1784287917.9126
MEM 96.652344 1784287918.0147
MEM 96.652344 1784287918.1150
MEM 96.652344 1784287918.2152
MEM 96.656250 1784287918.3161
MEM 96.656250 1784287918.4165
MEM 98.226562 1784287918.5246
MEM 98.226562 1784287918.6270
MEM 98.457031 1784287918.7273
MEM 98.457031 1784287918.8275
MEM 98.457031 1784287918.9286
MEM 99.027344 1784287919.0289
MEM 99.027344 1784287919.1292
MEM 99.027344 1784287919.2306
MEM 90.421875 1784287919.3309
MEM 96.820312 1784287919.4326
MEM 96.890625 1784287919.5329
MEM 97.218750 1784287919.6331
MEM 97.218750 1784287919.7367
MEM 97.218750 1784287919.8370
MEM 97.226562 1784287919.9373
MEM 98.058594 1784287920.0376
MEM 100.152344 1784287920.1379
MEM 100.171875 1784287920.2385
MEM 100.183594 1784287920.3388
MEM 100.542969 1784287920.4406
MEM 100.542969 1784287920.5409
MEM 100.542969 1784287920.6412
MEM 100.542969 1784287920.7439
MEM 100.542969 1784287920.8470
MEM 100.542969 1784287920.9473
MEM 100.542969 1784287921.0475
MEM 100.542969 1784287921.1517
MEM 93.050781 1784287921.2520
MEM 96.671875 1784287921.3523
MEM 98.679688 1784287921.4567
MEM 94.308594 1784287921.5589
MEM 99.128906 1784287921.6593
MEM 99.312500 1784287921.7596
MEM 102.382812 1784287921.8598
MEM 102.382812 1784287921.9601
MEM 102.468750 1784287922.0603
MEM 102.468750 1784287922.1606
MEM 102.468750 1784287922.2630
MEM 102.472656 1784287922.3632
MEM 102.472656 1784287922.4634
MEM 103.210938 1784287922.5637
MEM 103.210938 1784287922.6640
MEM 103.210938 1784287922.7642
MEM 103.210938 1784287922.8645
MEM 103.210938 1784287922.9647
MEM 103.210938 1784287923.0650
MEM 103.210938 1784287923.1686
MEM 93.992188 1784287923.2689
MEM 99.078125 1784287923.3711
MEM 101.222656 1784287923.4715
MEM 101.238281 1784287923.5737
MEM 101.335938 1784287923.6745
MEM 103.949219 1784287923.7749
MEM 103.949219 1784287923.8767
MEM 103.949219 1784287923.9806
MEM 103.949219 1784287924.0835
MEM 103.949219 1784287924.1837
MEM 96.476562 1784287924.2839
MEM 100.128906 1784287924.3842
MEM 100.128906 1784287924.4845
MEM 100.250000 1784287924.5848
MEM 100.265625 1784287924.6850
MEM 100.265625 1784287924.7874
MEM 101.929688 1784287924.8878
MEM 101.929688 1784287924.9880
MEM 101.929688 1784287925.0884
MEM 101.937500 1784287925.1909
MEM 101.937500 1784287925.2911
MEM 101.968750 1784287925.3914
MEM 101.972656 1784287925.4917
MEM 115.339844 1784287925.5920
MEM 115.339844 1784287925.6966
MEM 115.339844 1784287925.7968
MEM 115.343750 1784287925.8972
MEM 115.363281 1784287925.9975
MEM 122.695312 1784287926.0991
MEM 122.695312 1784287926.1994
MEM 122.695312 1784287926.2997
MEM 122.699219 1784287926.3999
MEM 122.699219 1784287926.5006
MEM 122.703125 1784287926.6025
MEM 122.703125 1784287926.7028
MEM 122.714844 1784287926.8031
MEM 122.714844 1784287926.9034
MEM 122.718750 1784287927.0036
MEM 122.718750 1784287927.1039
MEM 122.718750 1784287927.2042
MEM 122.718750 1784287927.3046
MEM 122.718750 1784287927.4049
MEM 122.718750 1784287927.5086
MEM 122.718750 1784287927.6089
MEM 122.718750 1784287927.7091
MEM 122.718750 1784287927.8127
MEM 122.718750 1784287927.9130
MEM 122.718750 1784287928.0132
MEM 122.718750 1784287928.1135
MEM 122.718750 1784287928.2138
MEM 122.718750 1784287928.3141
MEM 122.765625 1784287928.4144
MEM 122.765625 1784287928.5149
MEM 122.765625 1784287928.6151
MEM 122.765625 1784287928.7154
MEM 122.765625 1784287928.8156
MEM 122.765625 1784287928.9159
MEM 122.765625 1784287929.0162
MEM 125.867188 1784287929.1166
MEM 125.867188 1784287929.2169
MEM 125.867188 1784287929.3206
MEM 125.871094 1784287929.4209
MEM 125.871094 1784287929.5212
MEM 125.871094 1784287929.6214
MEM 125.871094 1784287929.7218
MEM 125.871094 1784287929.8221
MEM 125.871094 1784287929.9223
MEM 125.871094 1784287930.0226
MEM 125.871094 1784287930.1229
MEM 125.871094 1784287930.2233
MEM 125.871094 1784287930.3236
MEM 125.871094 1784287930.4239
MEM 125.871094 1784287930.5241
MEM 125.871094 1784287930.6244
MEM 125.871094 1784287930.7246
MEM 125.871094 1784287930.8249
MEM 125.871094 1784287930.9252
MEM 125.964844 1784287931.0256
MEM 125.964844 1784287931.1260
MEM 125.964844 1784287931.2262
MEM 125.964844 1784287931.3266
MEM 125.964844 1784287931.4268
MEM 125.964844 1784287931.5275
MEM 125.964844 1784287931.6310
MEM 125.964844 1784287931.7326
MEM 125.964844 1784287931.8329
MEM 125.964844 1784287931.9332
MEM 125.964844 1784287932.0335
MEM 125.964844 1784287932.1366
MEM 125.964844 1784287932.2369
MEM 125.964844 1784287932.3388
MEM 125.964844 1784287932.4391
MEM 125.964844 1784287932.5393
MEM 125.964844 1784287932.6400
MEM 125.964844 1784287932.7403
MEM 125.964844 1784287932.8405
MEM 125.964844 1784287932.9408
MEM 125.964844 1784287933.0411
MEM 125.964844 1784287933.1413
MEM 125.964844 1784287933.2416
MEM 125.964844 1784287933.3418
MEM 125.964844 1784287933.4421
MEM 125.964844 1784287933.5446
MEM 125.964844 1784287933.6449
MEM 125.964844 1784287933.7451
MEM 125.964844 1784287933.8486
MEM 125.964844 1784287933.9508
MEM 125.964844 1784287934.0511
MEM 125.964844 1784287934.1514
MEM 125.964844 1784287934.2518
MEM 125.964844 1784287934.3520
MEM 125.964844 1784287934.4562
MEM 125.964844 1784287934.5565
MEM 125.964844 1784287934.6600
MEM 125.964844 1784287934.7633
MEM 125.964844 1784287934.8636
MEM 125.984375 1784287934.9638
MEM 125.984375 1784287935.0641
MEM 125.984375 1784287935.1643
MEM 125.984375 1784287935.2646
MEM 125.984375 1784287935.3648
MEM 125.984375 1784287935.4671
MEM 125.984375 1784287935.5673
MEM 125.984375 1784287935.6677
MEM 125.984375 1784287935.7681
MEM 125.984375 1784287935.8715
MEM 125.984375 1784287935.9718
MEM 126.035156 1784287936.0720
MEM 126.089844 1784287936.1725
MEM 126.089844 1784287936.2742
MEM 126.089844 1784287936.3745
MEM 126.089844 1784287936.4766
MEM 126.160156 1784287936.5806
MEM 126.160156 1784287936.6837
MEM 126.160156 1784287936.7841
MEM 126.160156 1784287936.8844
MEM 126.160156 1784287936.9846
MEM 126.160156 1784287937.0848
MEM 126.250000 1784287937.1851
MEM 126.250000 1784287937.2866
MEM 126.386719 1784287937.3871
MEM 126.386719 1784287937.4874
MEM 126.386719 1784287937.5877
MEM 126.386719 1784287937.6881
MEM 126.386719 1784287937.7883
MEM 126.648438 1784287937.8887
MEM 126.648438 1784287937.9890
MEM 126.648438 1784287938.0893
MEM 126.648438 1784287938.1896
MEM 126.648438 1784287938.2919
MEM 126.648438 1784287938.3922
MEM 126.648438 1784287938.4924
MEM 126.648438 1784287938.5927
MEM 126.648438 1784287938.6937
MEM 126.648438 1784287938.7939
MEM 126.652344 1784287938.8942
MEM 126.652344 1784287938.9946
MEM 126.652344 1784287939.0948
MEM 126.652344 1784287939.1966
MEM 128.460938 1784287939.3006
MEM 128.460938 1784287939.4044
MEM 128.460938 1784287939.5047
MEM 128.460938 1784287939.6050
MEM 129.039062 1784287939.7087
MEM 129.039062 1784287939.8089
MEM 129.039062 1784287939.9126
MEM 129.039062 1784287940.0128
MEM 129.039062 1784287940.1131
MEM 129.203125 1784287940.2133
MEM 129.203125 1784287940.3136
MEM 129.203125 1784287940.4138
MEM 129.203125 1784287940.5141
