CMDLINE .venv/bin/python save_vocab.py
MEM 0.679688 1784305139.9917
MEM 22.261719 1784305140.0920
MEM 36.316406 1784305140.1923
MEM 37.035156 1784305140.2926
MEM 37.507812 1784305140.3966
MEM 37.507812 1784305140.5006
MEM 37.507812 1784305140.6009
MEM 38.210938 1784305140.7011
MEM 65.226562 1784305140.8014
MEM 65.824219 1784305140.9025
MEM 65.949219 1784305141.0028
MEM 65.753906 1784305141.1031
MEM 64.054688 1784305141.2034
MEM 69.753906 1784305141.3036
MEM 67.644531 1784305141.4039
MEM 69.886719 1784305141.5042
MEM 69.886719 1784305141.6086
MEM 69.242188 1784305141.7126
MEM 72.910156 1784305141.8135
MEM 76.773438 1784305141.9138
MEM 76.933594 1784305142.0141
MEM 76.937500 1784305142.1144
MEM 78.808594 1784305142.2147
MEM 74.308594 1784305142.3150
MEM 79.523438 1784305142.4153
MEM 79.726562 1784305142.5190
MEM 79.722656 1784305142.6192
MEM 79.722656 1784305142.7195
MEM 73.613281 1784305142.8206
MEM 76.777344 1784305142.9209
MEM 80.750000 1784305143.0211
MEM 74.171875 1784305143.1246
MEM 74.410156 1784305143.2260
MEM 76.628906 1784305143.3264
MEM 77.484375 1784305143.4266
MEM 74.757812 1784305143.5269
MEM 80.414062 1784305143.6272
MEM 81.699219 1784305143.7275
MEM 81.703125 1784305143.8278
MEM 81.707031 1784305143.9280
MEM 90.480469 1784305144.0283
MEM 90.484375 1784305144.1285
MEM 90.484375 1784305144.2288
MEM 90.484375 1784305144.3290
MEM 90.484375 1784305144.4293
MEM 92.011719 1784305144.5295
MEM 94.265625 1784305144.6299
MEM 88.785156 1784305144.7301
MEM 94.332031 1784305144.8304
MEM 94.332031 1784305144.9306
MEM 94.332031 1784305145.0326
MEM 94.332031 1784305145.1349
MEM 95.035156 1784305145.2366
MEM 95.035156 1784305145.3393
MEM 95.035156 1784305145.4396
MEM 95.035156 1784305145.5400
MEM 95.035156 1784305145.6403
MEM 95.035156 1784305145.7406
MEM 95.035156 1784305145.8423
MEM 95.035156 1784305145.9427
MEM 95.035156 1784305146.0430
MEM 95.035156 1784305146.1486
MEM 95.035156 1784305146.2488
MEM 95.035156 1784305146.3492
MEM 96.617188 1784305146.4495
MEM 96.617188 1784305146.5517
MEM 96.617188 1784305146.6521
MEM 96.621094 1784305146.7525
MEM 108.617188 1784305146.8566
MEM 108.617188 1784305146.9569
MEM 108.617188 1784305147.0586
MEM 108.617188 1784305147.1589
MEM 108.617188 1784305147.2606
MEM 108.617188 1784305147.3609
MEM 108.617188 1784305147.4646
MEM 108.617188 1784305147.5649
MEM 108.617188 1784305147.6651
MEM 108.660156 1784305147.7686
MEM 108.660156 1784305147.8707
MEM 108.660156 1784305147.9710
MEM 108.660156 1784305148.0713
MEM 108.660156 1784305148.1716
MEM 108.660156 1784305148.2719
MEM 108.660156 1784305148.3721
MEM 108.660156 1784305148.4725
MEM 108.660156 1784305148.5750
MEM 108.660156 1784305148.6753
MEM 108.660156 1784305148.7756
MEM 108.660156 1784305148.8759
MEM 108.660156 1784305148.9762
MEM 108.660156 1784305149.0764
MEM 108.660156 1784305149.1769
MEM 108.660156 1784305149.2771
MEM 108.660156 1784305149.3774
MEM 108.660156 1784305149.4794
MEM 108.660156 1784305149.5798
MEM 108.660156 1784305149.6801
MEM 108.660156 1784305149.7804
MEM 108.660156 1784305149.8806
MEM 108.660156 1784305149.9809
MEM 108.660156 1784305150.0847
MEM 108.660156 1784305150.1887
MEM 108.660156 1784305150.2927
MEM 108.660156 1784305150.3938
MEM 108.660156 1784305150.4941
MEM 108.660156 1784305150.5944
MEM 108.660156 1784305150.6947
MEM 108.660156 1784305150.7950
MEM 108.660156 1784305150.8953
MEM 108.660156 1784305150.9955
MEM 108.675781 1784305151.0958
MEM 108.675781 1784305151.1960
MEM 108.675781 1784305151.2963
MEM 108.675781 1784305151.3994
MEM 108.675781 1784305151.4998
MEM 108.675781 1784305151.6001
MEM 108.675781 1784305151.7003
MEM 108.675781 1784305151.8006
MEM 108.675781 1784305151.9032
MEM 108.675781 1784305152.0034
MEM 108.675781 1784305152.1038
MEM 108.675781 1784305152.2042
MEM 108.675781 1784305152.3045
MEM 108.683594 1784305152.4065
MEM 108.683594 1784305152.5068
MEM 108.683594 1784305152.6071
MEM 108.683594 1784305152.7074
MEM 108.683594 1784305152.8078
MEM 108.683594 1784305152.9083
MEM 108.683594 1784305153.0126
MEM 108.683594 1784305153.1129
MEM 113.175781 1784305153.2145
MEM 113.175781 1784305153.3148
MEM 113.214844 1784305153.4151
MEM 113.214844 1784305153.5154
MEM 113.214844 1784305153.6156
MEM 113.218750 1784305153.7159
MEM 114.093750 1784305153.8162
MEM 114.093750 1784305153.9165
MEM 114.093750 1784305154.0168
MEM 114.093750 1784305154.1171
MEM 114.093750 1784305154.2173
MEM 114.093750 1784305154.3176
MEM 114.093750 1784305154.4178
MEM 114.093750 1784305154.5181
MEM 114.093750 1784305154.6184
MEM 114.093750 1784305154.7206
MEM 114.093750 1784305154.8237
