CMDLINE .venv/bin/python save_vocab.py
MEM 0.402344 1784295816.7429
MEM 27.660156 1784295816.8432
MEM 36.328125 1784295816.9437
MEM 37.503906 1784295817.0463
MEM 37.503906 1784295817.1466
MEM 37.503906 1784295817.2488
MEM 39.078125 1784295817.3519
MEM 48.859375 1784295817.4522
MEM 50.406250 1784295817.5547
MEM 74.640625 1784295817.6550
MEM 86.996094 1784295817.7553
MEM 86.996094 1784295817.8557
MEM 82.207031 1784295817.9608
MEM 82.207031 1784295818.0619
MEM 84.042969 1784295818.1623
MEM 85.156250 1784295818.2627
MEM 87.078125 1784295818.3631
MEM 87.082031 1784295818.4646
MEM 81.351562 1784295818.5657
MEM 81.351562 1784295818.6660
MEM 84.007812 1784295818.7663
MEM 85.621094 1784295818.8672
MEM 90.781250 1784295818.9675
MEM 87.332031 1784295819.0677
MEM 87.566406 1784295819.1680
MEM 89.332031 1784295819.2708
MEM 84.472656 1784295819.3711
MEM 87.433594 1784295819.4714
MEM 91.128906 1784295819.5716
MEM 91.128906 1784295819.6726
MEM 91.296875 1784295819.7766
MEM 91.300781 1784295819.8778
MEM 85.492188 1784295819.9780
MEM 87.175781 1784295820.0783
MEM 90.660156 1784295820.1785
MEM 83.320312 1784295820.2788
MEM 88.304688 1784295820.3807
MEM 88.308594 1784295820.4809
MEM 88.492188 1784295820.5846
MEM 84.835938 1784295820.6849
MEM 89.472656 1784295820.7852
MEM 91.128906 1784295820.8857
MEM 91.128906 1784295820.9887
MEM 90.789062 1784295821.0926
MEM 90.871094 1784295821.1929
MEM 88.894531 1784295821.2931
MEM 85.449219 1784295821.3934
MEM 88.593750 1784295821.4943
MEM 92.210938 1784295821.5946
MEM 94.078125 1784295821.6948
MEM 94.234375 1784295821.7951
MEM 94.328125 1784295821.9025
MEM 101.664062 1784295822.0046
MEM 97.996094 1784295822.1066
MEM 98.089844 1784295822.2069
MEM 98.089844 1784295822.3071
MEM 98.089844 1784295822.4126
MEM 93.390625 1784295822.5128
MEM 93.488281 1784295822.6131
MEM 94.753906 1784295822.7133
MEM 96.316406 1784295822.8136
MEM 96.316406 1784295822.9139
MEM 97.808594 1784295823.0141
MEM 97.812500 1784295823.1145
MEM 97.812500 1784295823.2148
MEM 97.906250 1784295823.3152
MEM 97.906250 1784295823.4191
MEM 98.031250 1784295823.5196
MEM 98.031250 1784295823.6200
MEM 98.031250 1784295823.7205
MEM 98.031250 1784295823.8208
MEM 98.031250 1784295823.9217
MEM 98.031250 1784295824.0220
MEM 90.039062 1784295824.1222
MEM 90.042969 1784295824.2227
MEM 94.718750 1784295824.3243
MEM 94.718750 1784295824.4260
MEM 94.863281 1784295824.5263
MEM 96.457031 1784295824.6265
MEM 96.457031 1784295824.7268
MEM 96.460938 1784295824.8286
MEM 96.460938 1784295824.9298
MEM 96.460938 1784295825.0301
MEM 96.460938 1784295825.1304
MEM 96.460938 1784295825.2307
MEM 96.476562 1784295825.3311
MEM 92.039062 1784295825.4314
MEM 94.667969 1784295825.5317
MEM 96.839844 1784295825.6320
MEM 96.894531 1784295825.7323
MEM 97.343750 1784295825.8327
MEM 99.261719 1784295825.9329
MEM 99.265625 1784295826.0332
MEM 99.273438 1784295826.1334
MEM 99.277344 1784295826.2337
MEM 99.605469 1784295826.3339
MEM 99.605469 1784295826.4342
MEM 99.605469 1784295826.5351
MEM 100.515625 1784295826.6353
MEM 100.515625 1784295826.7359
MEM 100.515625 1784295826.8361
MEM 100.515625 1784295826.9446
MEM 100.515625 1784295827.0449
MEM 100.515625 1784295827.1451
MEM 92.527344 1784295827.2487
MEM 98.679688 1784295827.3489
MEM 98.730469 1784295827.4492
MEM 98.742188 1784295827.5494
MEM 97.324219 1784295827.6504
MEM 99.503906 1784295827.7507
MEM 99.503906 1784295827.8510
MEM 99.941406 1784295827.9566
MEM 99.949219 1784295828.0569
MEM 99.949219 1784295828.1573
MEM 92.800781 1784295828.2575
MEM 97.808594 1784295828.3579
MEM 100.894531 1784295828.4582
MEM 110.855469 1784295828.5585
MEM 110.855469 1784295828.6588
MEM 110.859375 1784295828.7591
MEM 110.964844 1784295828.8593
MEM 112.382812 1784295828.9596
MEM 104.406250 1784295829.0599
MEM 106.046875 1784295829.1630
MEM 107.968750 1784295829.2632
MEM 109.558594 1784295829.3686
MEM 109.558594 1784295829.4688
MEM 109.558594 1784295829.5691
MEM 101.121094 1784295829.6694
MEM 109.292969 1784295829.7696
MEM 109.292969 1784295829.8699
MEM 109.359375 1784295829.9701
MEM 109.359375 1784295830.0704
MEM 109.769531 1784295830.1706
MEM 109.769531 1784295830.2709
MEM 109.769531 1784295830.3712
MEM 102.750000 1784295830.4714
MEM 104.128906 1784295830.5719
MEM 107.449219 1784295830.6722
MEM 109.296875 1784295830.7725
MEM 109.296875 1784295830.8742
MEM 111.292969 1784295830.9745
MEM 111.371094 1784295831.0748
MEM 111.488281 1784295831.1767
MEM 105.390625 1784295831.2806
MEM 106.988281 1784295831.3809
MEM 108.566406 1784295831.4813
MEM 108.742188 1784295831.5816
MEM 109.539062 1784295831.6818
MEM 109.542969 1784295831.7867
MEM 109.550781 1784295831.8869
MEM 109.550781 1784295831.9872
MEM 109.550781 1784295832.0927
MEM 109.550781 1784295832.1933
MEM 124.218750 1784295832.2936
MEM 116.882812 1784295832.3939
MEM 117.531250 1784295832.4942
MEM 118.699219 1784295832.5946
MEM 124.933594 1784295832.6967
MEM 125.160156 1784295832.7971
MEM 125.160156 1784295832.9006
MEM 125.160156 1784295833.0009
MEM 125.160156 1784295833.1011
MEM 125.160156 1784295833.2014
MEM 125.160156 1784295833.3016
MEM 125.160156 1784295833.4019
MEM 125.160156 1784295833.5046
MEM 125.160156 1784295833.6049
MEM 125.160156 1784295833.7051
MEM 125.160156 1784295833.8054
MEM 125.160156 1784295833.9056
MEM 125.160156 1784295834.0059
MEM 125.160156 1784295834.1061
MEM 125.160156 1784295834.2064
MEM 125.160156 1784295834.3086
MEM 125.160156 1784295834.4089
MEM 125.160156 1784295834.5091
MEM 125.160156 1784295834.6094
MEM 125.160156 1784295834.7127
MEM 125.160156 1784295834.8130
MEM 125.160156 1784295834.9133
MEM 125.160156 1784295835.0157
MEM 125.160156 1784295835.1160
MEM 125.160156 1784295835.2163
MEM 125.160156 1784295835.3166
MEM 125.160156 1784295835.4168
MEM 125.160156 1784295835.5171
MEM 125.160156 1784295835.6206
MEM 125.160156 1784295835.7214
MEM 125.160156 1784295835.8217
MEM 125.160156 1784295835.9219
MEM 125.160156 1784295836.0222
MEM 125.160156 1784295836.1226
MEM 125.160156 1784295836.2229
MEM 125.160156 1784295836.3231
MEM 125.160156 1784295836.4235
MEM 125.160156 1784295836.5238
MEM 125.160156 1784295836.6240
MEM 125.160156 1784295836.7243
MEM 125.160156 1784295836.8246
MEM 125.160156 1784295836.9248
MEM 125.160156 1784295837.0251
MEM 125.160156 1784295837.1260
MEM 125.160156 1784295837.2263
MEM 125.160156 1784295837.3267
