CMDLINE .venv/bin/python save_vocab.py
MEM 0.511719 1784285836.2819
MEM 32.765625 1784285836.3843
MEM 37.433594 1784285836.4887
MEM 37.433594 1784285836.5891
MEM 37.433594 1784285836.6895
MEM 37.433594 1784285836.7915
MEM 48.800781 1784285836.8918
MEM 62.796875 1784285836.9966
MEM 78.093750 1784285837.0968
MEM 79.929688 1784285837.1971
MEM 79.941406 1784285837.2974
MEM 80.000000 1784285837.3976
MEM 83.492188 1784285837.4979
MEM 83.492188 1784285837.5982
MEM 83.492188 1784285837.6985
MEM 78.796875 1784285837.7987
MEM 78.796875 1784285837.8991
MEM 82.066406 1784285837.9993
MEM 85.734375 1784285838.0996
MEM 85.769531 1784285838.1998
MEM 85.769531 1784285838.3001
MEM 88.019531 1784285838.4003
MEM 88.019531 1784285838.5006
MEM 85.699219 1784285838.6009
MEM 85.699219 1784285838.7023
MEM 85.699219 1784285838.8026
MEM 85.699219 1784285838.9028
MEM 87.019531 1784285839.0031
MEM 89.269531 1784285839.1075
MEM 89.851562 1784285839.2081
MEM 86.523438 1784285839.3085
MEM 88.070312 1784285839.4126
MEM 89.847656 1784285839.5141
MEM 92.179688 1784285839.6144
MEM 92.179688 1784285839.7146
MEM 92.187500 1784285839.8149
MEM 88.906250 1784285839.9151
MEM 91.742188 1784285840.0154
MEM 91.894531 1784285840.1156
MEM 86.468750 1784285840.2159
MEM 89.949219 1784285840.3161
MEM 89.949219 1784285840.4164
MEM 91.316406 1784285840.5177
MEM 91.316406 1784285840.6179
MEM 89.957031 1784285840.7181
MEM 97.292969 1784285840.8185
MEM 93.625000 1784285840.9189
MEM 95.972656 1784285841.0191
MEM 95.980469 1784285841.1194
MEM 95.980469 1784285841.2246
MEM 95.980469 1784285841.3254
MEM 95.980469 1784285841.4258
MEM 95.992188 1784285841.5283
MEM 107.417969 1784285841.6286
MEM 107.417969 1784285841.7366
MEM 107.417969 1784285841.8371
MEM 107.417969 1784285841.9374
MEM 107.417969 1784285842.0377
MEM 107.417969 1784285842.1379
MEM 107.417969 1784285842.2382
MEM 100.960938 1784285842.3384
MEM 104.328125 1784285842.4388
MEM 104.328125 1784285842.5390
MEM 105.777344 1784285842.6394
MEM 105.777344 1784285842.7397
MEM 105.777344 1784285842.8400
MEM 105.777344 1784285842.9403
MEM 105.777344 1784285843.0446
MEM 106.539062 1784285843.1486
MEM 106.539062 1784285843.2489
MEM 106.539062 1784285843.3491
MEM 106.539062 1784285843.4497
MEM 106.539062 1784285843.5500
MEM 106.539062 1784285843.6502
MEM 106.539062 1784285843.7505
MEM 106.539062 1784285843.8507
MEM 106.539062 1784285843.9526
MEM 106.539062 1784285844.0528
MEM 106.539062 1784285844.1531
MEM 106.539062 1784285844.2534
MEM 106.539062 1784285844.3536
MEM 106.539062 1784285844.4540
MEM 106.539062 1784285844.5543
MEM 107.718750 1784285844.6546
MEM 107.718750 1784285844.7549
MEM 107.718750 1784285844.8553
MEM 107.718750 1784285844.9556
MEM 107.718750 1784285845.0559
MEM 107.718750 1784285845.1563
MEM 107.718750 1784285845.2577
MEM 107.718750 1784285845.3580
MEM 107.718750 1784285845.4583
MEM 107.718750 1784285845.5585
MEM 107.718750 1784285845.6588
MEM 107.718750 1784285845.7646
MEM 107.718750 1784285845.8664
MEM 107.730469 1784285845.9667
MEM 107.730469 1784285846.0670
MEM 107.730469 1784285846.1672
MEM 107.730469 1784285846.2675
MEM 107.738281 1784285846.3727
MEM 107.738281 1784285846.4730
MEM 107.738281 1784285846.5734
MEM 107.738281 1784285846.6746
MEM 107.738281 1784285846.7761
MEM 107.738281 1784285846.8764
MEM 107.738281 1784285846.9776
MEM 107.750000 1784285847.0807
MEM 107.750000 1784285847.1811
MEM 107.750000 1784285847.2813
MEM 107.750000 1784285847.3847
MEM 107.750000 1784285847.4849
MEM 107.750000 1784285847.5875
MEM 107.750000 1784285847.6878
MEM 107.750000 1784285847.7881
MEM 107.750000 1784285847.8884
MEM 107.875000 1784285847.9923
MEM 107.875000 1784285848.0926
MEM 107.878906 1784285848.1932
MEM 107.878906 1784285848.2934
