CMDLINE .venv/bin/python save_vocab.py
MEM 0.492188 1784285143.6328
MEM 22.324219 1784285143.7331
MEM 30.398438 1784285143.8343
MEM 36.125000 1784285143.9347
MEM 36.867188 1784285144.0351
MEM 37.289062 1784285144.1406
MEM 37.289062 1784285144.2410
MEM 37.289062 1784285144.3446
MEM 49.382812 1784285144.4449
MEM 74.554688 1784285144.5451
MEM 85.417969 1784285144.6453
MEM 80.460938 1784285144.7486
MEM 82.296875 1784285144.8489
MEM 83.738281 1784285144.9491
MEM 81.195312 1784285145.0494
MEM 79.187500 1784285145.1496
MEM 84.277344 1784285145.2499
MEM 84.437500 1784285145.3501
MEM 85.593750 1784285145.4504
MEM 86.128906 1784285145.5507
MEM 86.132812 1784285145.6510
MEM 89.625000 1784285145.7513
MEM 86.406250 1784285145.8516
MEM 86.406250 1784285145.9519
MEM 88.281250 1784285146.0522
MEM 88.281250 1784285146.1525
MEM 90.421875 1784285146.2567
MEM 90.421875 1784285146.3570
MEM 90.488281 1784285146.4572
MEM 90.628906 1784285146.5575
MEM 89.210938 1784285146.6606
MEM 89.210938 1784285146.7609
MEM 89.214844 1784285146.8611
MEM 90.757812 1784285146.9614
MEM 92.386719 1784285147.0617
MEM 94.734375 1784285147.1619
MEM 94.816406 1784285147.2622
MEM 94.816406 1784285147.3625
MEM 91.769531 1784285147.4628
MEM 91.773438 1784285147.5630
MEM 95.574219 1784285147.6633
MEM 95.574219 1784285147.7636
MEM 95.578125 1784285147.8639
MEM 95.925781 1784285147.9642
MEM 87.089844 1784285148.0644
MEM 91.917969 1784285148.1648
MEM 92.972656 1784285148.2651
MEM 97.605469 1784285148.3681
MEM 97.613281 1784285148.4684
MEM 98.304688 1784285148.5686
MEM 98.304688 1784285148.6689
MEM 98.304688 1784285148.7699
MEM 98.312500 1784285148.8702
MEM 98.312500 1784285148.9704
MEM 98.312500 1784285149.0707
MEM 98.312500 1784285149.1710
MEM 99.265625 1784285149.2713
MEM 99.265625 1784285149.3716
MEM 100.953125 1784285149.4718
MEM 100.953125 1784285149.5721
MEM 100.953125 1784285149.6727
MEM 100.953125 1784285149.7753
MEM 101.121094 1784285149.8755
MEM 93.562500 1784285149.9758
MEM 98.925781 1784285150.0760
MEM 98.929688 1784285150.1763
MEM 100.132812 1784285150.2766
MEM 100.132812 1784285150.3768
MEM 100.132812 1784285150.4771
MEM 100.132812 1784285150.5773
MEM 92.824219 1784285150.6776
MEM 98.187500 1784285150.7779
